netlist_idx,hpwl_improve_pct,mdp_overlap_pct,diffusion_overlap_pct,overlap_reduction_pp
1,-80.13094,100.0,21.303100790730202,78.6968992092698
2,-79.79545,100.0,12.934368873851756,87.06563112614825
3,-66.51812,100.0,16.455848596187757,83.54415140381224
4,-62.17748,100.0,9.578441304077964,90.42155869592203
5,-81.57183,100.0,10.154737621076967,89.84526237892304
6,-96.82206,100.0,12.427331180919571,87.57266881908043
7,-68.97303,100.0,19.198818124024168,80.80118187597583
8,-75.85411,100.0,9.060676085903907,90.9393239140961
9,-75.275345,100.0,15.00894292855455,84.99105707144545
10,-66.18828,100.0,14.729420240096372,85.27057975990363
